Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Cherfilus-McCormick, Sheila",123388,113388,10000,Candidate (D-FL20),Democrat
DNC Services Corp,123239,123239,0,Political Party,Democrat
"Hudson, Richard",122789,112789,10000,Candidate (R-NC09),Republican
"Chavez-Deremer, Lori",122354,117354,5000,Candidate (R-OR05),Republican
"Sinema, Kyrsten",121450,121450,0,Candidate (I-AZS2),Independent
"Hawley, Josh",119205,109205,10000,Candidate (R-MOS2),Republican
"Horsford, Steven",117875,107875,10000,Candidate (D-NV04),Democrat
"Brown, Shontel",113620,103620,10000,Candidate (D-OH11),Democrat
"Caraveo, Yadira",107650,97650,10000,Candidate (D-CO08),Democrat
"Newhouse, Dan",106458,101458,5000,Candidate (R-WA04),Republican
"Waltz, Michael",102872,92872,10000,Candidate (R-FL06),Republican
"Morelle, Joseph D",99870,89870,10000,Candidate (D-NY25),Democrat
"Trone, David",99600,99600,0,Candidate (D-MD06),Democrat
"Womack, Steve",98047,83047,15000,Candidate (R-AR03),Republican
"Gonzalez, Vicente",97750,91750,6000,Candidate (D-TX34),Democrat
"Levin, Mike",97522,87522,10000,Candidate (D-CA49),Democrat
"Molinaro, Marc",97058,87058,10000,Candidate (R-NY19),Republican
"Jack, Brian",94752,79752,15000,Candidate (R-GA03),Republican
"Garbarino, Andrew",93890,83890,10000,Candidate (R-NY02),Republican
"Williams, Nikema Natassha",91140,81140,10000,Candidate (D-GA05),Democrat
"Norcross, Don",90805,80805,10000,Candidate (D-NJ01),Democrat
"Sykes, Emilia",90653,75653,15000,Candidate (D-OH13),Democrat
"Curtis, John",88400,78400,10000,Candidate (R-UT03),Republican
"Sorensen, Eric",87014,82014,5000,Candidate (D-IL17),Democrat
"Malliotakis, Nicole",85400,75400,10000,Candidate (R-NY11),Republican
"Ellzey, Jake",83008,73008,10000,Candidate (R-TX06),Republican
"Amo, Gabe",82963,67963,15000,Candidate (D-RI01),Democrat
"Salinas, Andrea",82450,72450,10000,Candidate (D-OR06),Democrat
"Suozzi, Tom",81660,71660,10000,Candidate (D-NY03),Democrat
Republican National Cmte,78470,78470,0,Political Party,Republican
"Yakym, Rudy",77486,72486,5000,Candidate (R-IN02),Republican
"Schweikert, David",75751,65751,10000,Candidate (R-AZ01),Republican
"Kelly, Mike",73800,68800,5000,Candidate (R-PA16),Republican
"Ruiz, Raul",73717,63717,10000,Candidate (D-CA25),Democrat
"Titus, Dina",71050,61050,10000,Candidate (D-NV01),Democrat
"Schrier, Kim",67950,57950,10000,Candidate (D-WA08),Democrat
"Granger, Kay",66750,61750,5000,Candidate (R-TX12),Republican
"Valadao, David",65397,55397,10000,Candidate (R-CA22),Republican
"Ivey, Glenn",64100,54100,10000,Candidate (D-MD04),Democrat
"Goodlander, Maggie",63850,53850,10000,Candidate (D-NH02),Democrat
"Veasey, Marc",60128,50128,10000,Candidate (D-TX33),Democrat
"Stanton, Greg",58750,48750,10000,Candidate (D-AZ04),Democrat
"Letlow, Julia",58450,48450,10000,Candidate (R-LA05),Republican
"Williams, Brandon",57889,47889,10000,Candidate (R-NY22),Republican
"Pascrell, Bill Jr",57700,52700,5000,Candidate (D-NJ09),Democrat
"De La Cruz, Monica",57406,47406,10000,Candidate (R-TX15),Republican
"Hunt, Wesley",56724,51724,5000,Candidate (R-TX38),Republican
"Bost, Mike",56270,46270,10000,Candidate (R-IL12),Republican
"Ross, Deborah",55438,45438,10000,Candidate (D-NC02),Democrat
"Nunn, Zach",54987,44987,10000,Candidate (R-IA03),Republican
"Crenshaw, Dan",54118,44118,10000,Candidate (R-TX02),Republican
"Harder, Josh",49804,44804,5000,Candidate (D-CA09),Democrat
"Lamborn, Doug",49653,39653,10000,Candidate (R-CO05),Republican
"Webster, Daniel",49550,39550,10000,Candidate (R-FL11),Republican
"Barragan, Nanette",49522,44522,5000,Candidate (D-CA44),Democrat
"Kiggans, Jen",49051,39051,10000,Candidate (R-VA02),Republican
"McGarvey, Morgan",49003,44003,5000,Candidate (D-KY03),Democrat
